danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.558,0.408,2,-8.235,1,0.0253,0.05,0.013,0.125,0.162,82.021,audio_features,06wxyCQFJOT0bjvSPMQj7x,spotify:track:06wxyCQFJOT0bjvSPMQj7x,https://api.spotify.com/v1/tracks/06wxyCQFJOT0bjvSPMQj7x,https://api.spotify.com/v1/audio-analysis/06wxyCQFJOT0bjvSPMQj7x,310293,4
0.572,0.712,2,-6.085,1,0.0336,0.154,0.00015,0.347,0.307,123.994,audio_features,5WGYJbfhdexuPsLeWwqgIL,spotify:track:5WGYJbfhdexuPsLeWwqgIL,https://api.spotify.com/v1/tracks/5WGYJbfhdexuPsLeWwqgIL,https://api.spotify.com/v1/audio-analysis/5WGYJbfhdexuPsLeWwqgIL,223907,4
0.545,0.472,11,-7.552,1,0.0279,0.434,0.0,0.0684,0.193,134.027,audio_features,5VUQsLff8A3ruAyCdTxqzg,spotify:track:5VUQsLff8A3ruAyCdTxqzg,https://api.spotify.com/v1/tracks/5VUQsLff8A3ruAyCdTxqzg,https://api.spotify.com/v1/audio-analysis/5VUQsLff8A3ruAyCdTxqzg,335907,4
0.511,0.64,5,-7.161,1,0.0276,0.0917,0.0,0.246,0.224,81.977,audio_features,4G29gmjS7Z2nEFeM7FA6wx,spotify:track:4G29gmjS7Z2nEFeM7FA6wx,https://api.spotify.com/v1/tracks/4G29gmjS7Z2nEFeM7FA6wx,https://api.spotify.com/v1/audio-analysis/4G29gmjS7Z2nEFeM7FA6wx,323867,4
0.331,0.427,3,-7.431,1,0.0302,0.498,0.0,0.108,0.141,157.938,audio_features,3s0h3pyKFrS3XX6ZLBPx6s,spotify:track:3s0h3pyKFrS3XX6ZLBPx6s,https://api.spotify.com/v1/tracks/3s0h3pyKFrS3XX6ZLBPx6s,https://api.spotify.com/v1/audio-analysis/3s0h3pyKFrS3XX6ZLBPx6s,255173,3
0.454,0.511,6,-6.124,0,0.0275,0.166,0.0,0.122,0.327,72.984,audio_features,1wV6lCsV2PCeVZlyGTkVPt,spotify:track:1wV6lCsV2PCeVZlyGTkVPt,https://api.spotify.com/v1/tracks/1wV6lCsV2PCeVZlyGTkVPt,https://api.spotify.com/v1/audio-analysis/1wV6lCsV2PCeVZlyGTkVPt,266107,4
0.489,0.581,5,-6.586,1,0.0308,0.083,0.0,0.13,0.308,147.966,audio_features,7pJB2CjZQUt4Ig1fdPQl5s,spotify:track:7pJB2CjZQUt4Ig1fdPQl5s,https://api.spotify.com/v1/tracks/7pJB2CjZQUt4Ig1fdPQl5s,https://api.spotify.com/v1/audio-analysis/7pJB2CjZQUt4Ig1fdPQl5s,268667,4
0.641,0.633,6,-7.295,1,0.0271,0.104,0.0,0.262,0.279,114.993,audio_features,08shoW0qPqgMDnNQppWAQj,spotify:track:08shoW0qPqgMDnNQppWAQj,https://api.spotify.com/v1/tracks/08shoW0qPqgMDnNQppWAQj,https://api.spotify.com/v1/audio-analysis/08shoW0qPqgMDnNQppWAQj,305333,4
0.527,0.789,6,-6.052,0,0.0422,0.23,0.0,0.216,0.321,132.042,audio_features,0IpYDPNzFWxcLgZDkkrc5C,spotify:track:0IpYDPNzFWxcLgZDkkrc5C,https://api.spotify.com/v1/tracks/0IpYDPNzFWxcLgZDkkrc5C,https://api.spotify.com/v1/audio-analysis/0IpYDPNzFWxcLgZDkkrc5C,238960,4
0.473,0.713,1,-7.594,1,0.031,0.000454,0.000155,0.12,0.129,112.027,audio_features,5upa2GofaZrflJ5mW2y0OR,spotify:track:5upa2GofaZrflJ5mW2y0OR,https://api.spotify.com/v1/tracks/5upa2GofaZrflJ5mW2y0OR,https://api.spotify.com/v1/audio-analysis/5upa2GofaZrflJ5mW2y0OR,316720,4
0.353,0.363,11,-9.107,1,0.0333,0.546,0.0,0.961,0.213,160.668,audio_features,4lD6Rr1Z7oNhKh0EtdCNpf,spotify:track:4lD6Rr1Z7oNhKh0EtdCNpf,https://api.spotify.com/v1/tracks/4lD6Rr1Z7oNhKh0EtdCNpf,https://api.spotify.com/v1/audio-analysis/4lD6Rr1Z7oNhKh0EtdCNpf,411733,4
0.632,0.702,11,-5.301,1,0.0289,0.0676,0.0,0.227,0.902,88.036,audio_features,3MhhAfSerH5btK9e0xO7ap,spotify:track:3MhhAfSerH5btK9e0xO7ap,https://api.spotify.com/v1/tracks/3MhhAfSerH5btK9e0xO7ap,https://api.spotify.com/v1/audio-analysis/3MhhAfSerH5btK9e0xO7ap,217000,4
