danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.528,0.744,4,-8.978,1,0.0328,0.00782,0.0,0.194,0.603,107.982,audio_features,2h2k2rkGQ9RDBXDB5g6UkY,spotify:track:2h2k2rkGQ9RDBXDB5g6UkY,https://api.spotify.com/v1/tracks/2h2k2rkGQ9RDBXDB5g6UkY,https://api.spotify.com/v1/audio-analysis/2h2k2rkGQ9RDBXDB5g6UkY,125147,4
0.427,0.745,0,-6.351,1,0.0324,0.0202,0.0,0.0716,0.499,110.803,audio_features,51V8O3PydOjdX8Nhpxjdi6,spotify:track:51V8O3PydOjdX8Nhpxjdi6,https://api.spotify.com/v1/tracks/51V8O3PydOjdX8Nhpxjdi6,https://api.spotify.com/v1/audio-analysis/51V8O3PydOjdX8Nhpxjdi6,170907,4
0.477,0.288,9,-20.971,1,0.0721,0.963,0.577,0.118,0.131,173.632,audio_features,0rwsgI6Ps18rTa0S7bz17C,spotify:track:0rwsgI6Ps18rTa0S7bz17C,https://api.spotify.com/v1/tracks/0rwsgI6Ps18rTa0S7bz17C,https://api.spotify.com/v1/audio-analysis/0rwsgI6Ps18rTa0S7bz17C,163973,4
0.497,0.717,1,-5.727,1,0.031,0.00444,0.0,0.0994,0.306,97.962,audio_features,6sPuuzPOih8vLC92qLpdJB,spotify:track:6sPuuzPOih8vLC92qLpdJB,https://api.spotify.com/v1/tracks/6sPuuzPOih8vLC92qLpdJB,https://api.spotify.com/v1/audio-analysis/6sPuuzPOih8vLC92qLpdJB,202320,4
0.574,0.879,9,-4.594,1,0.068,0.0721,0.0,0.0528,0.837,131.983,audio_features,6ZSf7RLIbwYsz9cz6KY6VA,spotify:track:6ZSf7RLIbwYsz9cz6KY6VA,https://api.spotify.com/v1/tracks/6ZSf7RLIbwYsz9cz6KY6VA,https://api.spotify.com/v1/audio-analysis/6ZSf7RLIbwYsz9cz6KY6VA,186493,4
0.774,0.75,11,-4.927,0,0.0412,0.00207,1.78e-05,0.0808,0.927,118.015,audio_features,27L8sESb3KR79asDUBu8nW,spotify:track:27L8sESb3KR79asDUBu8nW,https://api.spotify.com/v1/tracks/27L8sESb3KR79asDUBu8nW,https://api.spotify.com/v1/audio-analysis/27L8sESb3KR79asDUBu8nW,197987,4
0.675,0.52,3,-9.515,1,0.0317,0.543,0.000256,0.0965,0.701,117.008,audio_features,11PUdjgVfGEZLG9zs9UeTp,spotify:track:11PUdjgVfGEZLG9zs9UeTp,https://api.spotify.com/v1/tracks/11PUdjgVfGEZLG9zs9UeTp,https://api.spotify.com/v1/audio-analysis/11PUdjgVfGEZLG9zs9UeTp,180093,4
0.438,0.91,0,-5.023,1,0.0383,0.000127,8.46e-06,0.305,0.543,97.985,audio_features,0JJDHpxmlGfVS00SUAkvSF,spotify:track:0JJDHpxmlGfVS00SUAkvSF,https://api.spotify.com/v1/tracks/0JJDHpxmlGfVS00SUAkvSF,https://api.spotify.com/v1/audio-analysis/0JJDHpxmlGfVS00SUAkvSF,246347,4
0.526,0.675,10,-8.276,1,0.0274,0.117,0.0001,0.138,0.73,90.008,audio_features,0g10ndCuaKKaDqUa7gKZMV,spotify:track:0g10ndCuaKKaDqUa7gKZMV,https://api.spotify.com/v1/tracks/0g10ndCuaKKaDqUa7gKZMV,https://api.spotify.com/v1/audio-analysis/0g10ndCuaKKaDqUa7gKZMV,214960,3
0.428,0.704,4,-6.103,1,0.0282,0.0277,0.00128,0.146,0.333,80.961,audio_features,6FeBkC4wmjcikm4Y2Orqnr,spotify:track:6FeBkC4wmjcikm4Y2Orqnr,https://api.spotify.com/v1/tracks/6FeBkC4wmjcikm4Y2Orqnr,https://api.spotify.com/v1/audio-analysis/6FeBkC4wmjcikm4Y2Orqnr,261747,4
