danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.501,0.439,3,-7.521,0,0.0313,0.482,0.000117,0.087,0.145,138.377,audio_features,4GCGH6TJ69neckwITeBFXK,spotify:track:4GCGH6TJ69neckwITeBFXK,https://api.spotify.com/v1/tracks/4GCGH6TJ69neckwITeBFXK,https://api.spotify.com/v1/audio-analysis/4GCGH6TJ69neckwITeBFXK,406040,4
0.5,0.292,0,-8.554,1,0.0323,0.746,0.0,0.188,0.37,145.879,audio_features,6soW9pvcXoYrnyVmTC9ErH,spotify:track:6soW9pvcXoYrnyVmTC9ErH,https://api.spotify.com/v1/tracks/6soW9pvcXoYrnyVmTC9ErH,https://api.spotify.com/v1/audio-analysis/6soW9pvcXoYrnyVmTC9ErH,185200,4
0.802,0.468,1,-8.629,1,0.0378,0.248,0.000601,0.32,0.586,129.937,audio_features,64KrFHj9p5AyCX2yZQr4YJ,spotify:track:64KrFHj9p5AyCX2yZQr4YJ,https://api.spotify.com/v1/tracks/64KrFHj9p5AyCX2yZQr4YJ,https://api.spotify.com/v1/audio-analysis/64KrFHj9p5AyCX2yZQr4YJ,343960,4
0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0153,0.036,0.847,117.046,audio_features,5ChkMS8OtdzJeqyybCc9R5,spotify:track:5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/tracks/5ChkMS8OtdzJeqyybCc9R5,https://api.spotify.com/v1/audio-analysis/5ChkMS8OtdzJeqyybCc9R5,293827,4
0.669,0.534,1,-7.479,1,0.0643,0.174,0.0,0.184,0.666,135.056,audio_features,22BwaoGHQOTfFhHTndm7DQ,spotify:track:22BwaoGHQOTfFhHTndm7DQ,https://api.spotify.com/v1/tracks/22BwaoGHQOTfFhHTndm7DQ,https://api.spotify.com/v1/audio-analysis/22BwaoGHQOTfFhHTndm7DQ,259507,4
0.838,0.705,5,-5.201,0,0.0449,0.0184,1.82e-05,0.102,0.583,119.953,audio_features,3OtMnyUaiipcAT23A8liyi,spotify:track:3OtMnyUaiipcAT23A8liyi,https://api.spotify.com/v1/tracks/3OtMnyUaiipcAT23A8liyi,https://api.spotify.com/v1/audio-analysis/3OtMnyUaiipcAT23A8liyi,242520,4
0.456,0.573,5,-3.866,0,0.0275,0.578,3.05e-06,0.114,0.0992,76.19,audio_features,3TCauNPqFiniaYHBvEVoHG,spotify:track:3TCauNPqFiniaYHBvEVoHG,https://api.spotify.com/v1/tracks/3TCauNPqFiniaYHBvEVoHG,https://api.spotify.com/v1/audio-analysis/3TCauNPqFiniaYHBvEVoHG,238560,4
0.681,0.453,7,-6.09,1,0.0278,0.263,0.0,0.0543,0.348,125.772,audio_features,0TXNKTzawI6VgLoA9UauRp,spotify:track:0TXNKTzawI6VgLoA9UauRp,https://api.spotify.com/v1/tracks/0TXNKTzawI6VgLoA9UauRp,https://api.spotify.com/v1/audio-analysis/0TXNKTzawI6VgLoA9UauRp,216560,4
0.346,0.552,0,-6.864,0,0.0282,0.417,0.0,0.114,0.0789,75.881,audio_features,6VObnIkLVruX4UVyxWhlqm,spotify:track:6VObnIkLVruX4UVyxWhlqm,https://api.spotify.com/v1/tracks/6VObnIkLVruX4UVyxWhlqm,https://api.spotify.com/v1/audio-analysis/6VObnIkLVruX4UVyxWhlqm,286480,4
0.607,0.817,1,-5.926,1,0.11,0.037,0.000607,0.116,0.508,114.482,audio_features,541jTq3SOEELKvcfA0jHI0,spotify:track:541jTq3SOEELKvcfA0jHI0,https://api.spotify.com/v1/tracks/541jTq3SOEELKvcfA0jHI0,https://api.spotify.com/v1/audio-analysis/541jTq3SOEELKvcfA0jHI0,297400,4
