danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.458,0.998,7,-2.438,1,0.451,4.37e-05,0.912,0.333,0.0284,140.017,audio_features,7CljNfphubamB7LYenuVwf,spotify:track:7CljNfphubamB7LYenuVwf,https://api.spotify.com/v1/tracks/7CljNfphubamB7LYenuVwf,https://api.spotify.com/v1/audio-analysis/7CljNfphubamB7LYenuVwf,337787,4
0.444,0.702,6,-6.799,1,0.0608,0.00641,7.75e-06,0.217,0.27,148.096,audio_features,00WXjbcR195RztyuAQ90ub,spotify:track:00WXjbcR195RztyuAQ90ub,https://api.spotify.com/v1/tracks/00WXjbcR195RztyuAQ90ub,https://api.spotify.com/v1/audio-analysis/00WXjbcR195RztyuAQ90ub,340667,4
0.484,0.932,5,-4.454,1,0.0619,0.00249,3.62e-06,0.211,0.346,140.996,audio_features,1FgFXxPsmUmiJMoJNi8idR,spotify:track:1FgFXxPsmUmiJMoJNi8idR,https://api.spotify.com/v1/tracks/1FgFXxPsmUmiJMoJNi8idR,https://api.spotify.com/v1/audio-analysis/1FgFXxPsmUmiJMoJNi8idR,211187,4
0.498,0.993,7,-2.676,1,0.128,0.00406,0.000335,0.33,0.269,118.007,audio_features,2wdvKH8vLNyN9RRaXaqVCD,spotify:track:2wdvKH8vLNyN9RRaXaqVCD,https://api.spotify.com/v1/tracks/2wdvKH8vLNyN9RRaXaqVCD,https://api.spotify.com/v1/audio-analysis/2wdvKH8vLNyN9RRaXaqVCD,284206,4
0.417,0.969,5,-4.596,1,0.185,0.000145,4.66e-05,0.176,0.206,174.928,audio_features,58QbhhQIScI0jw0rSsjXCe,spotify:track:58QbhhQIScI0jw0rSsjXCe,https://api.spotify.com/v1/tracks/58QbhhQIScI0jw0rSsjXCe,https://api.spotify.com/v1/audio-analysis/58QbhhQIScI0jw0rSsjXCe,287787,4
0.507,0.902,7,-3.715,0,0.037,0.00362,0.00224,0.358,0.501,148.411,audio_features,7I271a78G44xDoTLsLHTUd,spotify:track:7I271a78G44xDoTLsLHTUd,https://api.spotify.com/v1/tracks/7I271a78G44xDoTLsLHTUd,https://api.spotify.com/v1/audio-analysis/7I271a78G44xDoTLsLHTUd,213627,4
0.375,0.961,0,-3.004,1,0.0756,2.52e-05,0.000353,0.345,0.239,92.545,audio_features,3DlayBa0kc2ec1L1VNTrZK,spotify:track:3DlayBa0kc2ec1L1VNTrZK,https://api.spotify.com/v1/tracks/3DlayBa0kc2ec1L1VNTrZK,https://api.spotify.com/v1/audio-analysis/3DlayBa0kc2ec1L1VNTrZK,239773,4
0.466,0.954,11,-3.633,0,0.132,0.00015,0.00343,0.387,0.396,170.058,audio_features,72aCha2Meq7txnk451hz7k,spotify:track:72aCha2Meq7txnk451hz7k,https://api.spotify.com/v1/tracks/72aCha2Meq7txnk451hz7k,https://api.spotify.com/v1/audio-analysis/72aCha2Meq7txnk451hz7k,220173,4
0.595,0.788,9,-7.167,0,0.0601,0.0208,6.87e-05,0.631,0.784,132.447,audio_features,3t8Id5r985SAZ9o5EGrUtk,spotify:track:3t8Id5r985SAZ9o5EGrUtk,https://api.spotify.com/v1/tracks/3t8Id5r985SAZ9o5EGrUtk,https://api.spotify.com/v1/audio-analysis/3t8Id5r985SAZ9o5EGrUtk,287866,4
0.204,0.981,11,-5.539,1,0.198,5.77e-06,0.69,0.279,0.354,79.563,audio_features,2U0zWKGPIdzhTdoK24ycLa,spotify:track:2U0zWKGPIdzhTdoK24ycLa,https://api.spotify.com/v1/tracks/2U0zWKGPIdzhTdoK24ycLa,https://api.spotify.com/v1/audio-analysis/2U0zWKGPIdzhTdoK24ycLa,223200,4
0.427,0.966,3,-5.876,0,0.0747,0.0104,0.000717,0.257,0.102,125.103,audio_features,0K2uehi4Nb4OrR7n6whfUL,spotify:track:0K2uehi4Nb4OrR7n6whfUL,https://api.spotify.com/v1/tracks/0K2uehi4Nb4OrR7n6whfUL,https://api.spotify.com/v1/audio-analysis/0K2uehi4Nb4OrR7n6whfUL,330947,4
0.457,0.972,1,-3.873,0,0.0618,4.33e-05,0.111,0.184,0.236,95.001,audio_features,4KOyX6IsR7kmCI82Pc7JYF,spotify:track:4KOyX6IsR7kmCI82Pc7JYF,https://api.spotify.com/v1/tracks/4KOyX6IsR7kmCI82Pc7JYF,https://api.spotify.com/v1/audio-analysis/4KOyX6IsR7kmCI82Pc7JYF,258899,4
0.543,0.8,10,-8.017,0,0.0399,0.00117,0.8,0.117,0.343,140.099,audio_features,0PplgkEJjCRTHe5B9Bwo3L,spotify:track:0PplgkEJjCRTHe5B9Bwo3L,https://api.spotify.com/v1/tracks/0PplgkEJjCRTHe5B9Bwo3L,https://api.spotify.com/v1/audio-analysis/0PplgkEJjCRTHe5B9Bwo3L,320013,4
0.523,0.988,1,-4.416,1,0.218,1.41e-05,0.00455,0.36,0.144,119.979,audio_features,681xVeq0Mkk2fo8LJwhSih,spotify:track:681xVeq0Mkk2fo8LJwhSih,https://api.spotify.com/v1/tracks/681xVeq0Mkk2fo8LJwhSih,https://api.spotify.com/v1/audio-analysis/681xVeq0Mkk2fo8LJwhSih,231000,4
0.201,0.973,9,-6.173,0,0.0984,0.0,0.849,0.0803,0.195,112.121,audio_features,1fzfivd2zAPbSgfxVPpC9m,spotify:track:1fzfivd2zAPbSgfxVPpC9m,https://api.spotify.com/v1/tracks/1fzfivd2zAPbSgfxVPpC9m,https://api.spotify.com/v1/audio-analysis/1fzfivd2zAPbSgfxVPpC9m,256200,4
0.137,0.956,5,-3.702,1,0.0615,5.76e-06,0.538,0.206,0.322,81.534,audio_features,17S89qlqmhEtGbHjzWWLaT,spotify:track:17S89qlqmhEtGbHjzWWLaT,https://api.spotify.com/v1/tracks/17S89qlqmhEtGbHjzWWLaT,https://api.spotify.com/v1/audio-analysis/17S89qlqmhEtGbHjzWWLaT,279053,4
0.711,0.935,6,-3.525,0,0.0355,0.13,0.0,0.172,0.948,102.304,audio_features,0z3jatLPYcIB5Hn2J1z0ze,spotify:track:0z3jatLPYcIB5Hn2J1z0ze,https://api.spotify.com/v1/tracks/0z3jatLPYcIB5Hn2J1z0ze,https://api.spotify.com/v1/audio-analysis/0z3jatLPYcIB5Hn2J1z0ze,196840,4
0.738,0.865,9,-3.861,0,0.0334,0.0311,3.23e-06,0.084,0.913,130.073,audio_features,6bGYLwrxv3j5sTwN0TLBdq,spotify:track:6bGYLwrxv3j5sTwN0TLBdq,https://api.spotify.com/v1/tracks/6bGYLwrxv3j5sTwN0TLBdq,https://api.spotify.com/v1/audio-analysis/6bGYLwrxv3j5sTwN0TLBdq,152347,4
0.545,0.901,11,-4.324,0,0.0596,0.0301,3.15e-06,0.153,0.798,137.998,audio_features,0plo6KjgjTcRhj7Fn8oemk,spotify:track:0plo6KjgjTcRhj7Fn8oemk,https://api.spotify.com/v1/tracks/0plo6KjgjTcRhj7Fn8oemk,https://api.spotify.com/v1/audio-analysis/0plo6KjgjTcRhj7Fn8oemk,289293,4
