danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.554,0.752,6,-4.286,1,0.0249,0.16,1.4e-06,0.122,0.616,140.042,audio_features,0OxBfQoUuoIvZftgqJhGSk,spotify:track:0OxBfQoUuoIvZftgqJhGSk,https://api.spotify.com/v1/tracks/0OxBfQoUuoIvZftgqJhGSk,https://api.spotify.com/v1/audio-analysis/0OxBfQoUuoIvZftgqJhGSk,185133,4
0.635,0.772,7,-4.825,1,0.0279,0.216,0.0,0.285,0.948,119.017,audio_features,2apYIejRlv1Xi6pkTc2BNA,spotify:track:2apYIejRlv1Xi6pkTc2BNA,https://api.spotify.com/v1/tracks/2apYIejRlv1Xi6pkTc2BNA,https://api.spotify.com/v1/audio-analysis/2apYIejRlv1Xi6pkTc2BNA,147893,4
0.59,0.855,6,-4.562,1,0.0358,0.0651,0.0,0.11,0.766,140.008,audio_features,13jZegMRYjLawFIGa6OSoY,spotify:track:13jZegMRYjLawFIGa6OSoY,https://api.spotify.com/v1/tracks/13jZegMRYjLawFIGa6OSoY,https://api.spotify.com/v1/audio-analysis/13jZegMRYjLawFIGa6OSoY,196080,4
0.63,0.836,7,-4.591,1,0.0438,0.541,0.0,0.312,0.818,92.98,audio_features,4CVLuvAvtEvXJPFUQjSOvw,spotify:track:4CVLuvAvtEvXJPFUQjSOvw,https://api.spotify.com/v1/tracks/4CVLuvAvtEvXJPFUQjSOvw,https://api.spotify.com/v1/audio-analysis/4CVLuvAvtEvXJPFUQjSOvw,162667,4
0.6,0.942,2,-4.441,1,0.0402,0.169,0.0,0.29,0.741,145.981,audio_features,4NoQHLpKSJCaxKduEUDiit,spotify:track:4NoQHLpKSJCaxKduEUDiit,https://api.spotify.com/v1/tracks/4NoQHLpKSJCaxKduEUDiit,https://api.spotify.com/v1/audio-analysis/4NoQHLpKSJCaxKduEUDiit,172627,4
0.553,0.884,2,-5.306,1,0.0771,0.0921,0.00033,0.0463,0.248,110.074,audio_features,5WPNqF4diE0xdnGTEBOUM3,spotify:track:5WPNqF4diE0xdnGTEBOUM3,https://api.spotify.com/v1/tracks/5WPNqF4diE0xdnGTEBOUM3,https://api.spotify.com/v1/audio-analysis/5WPNqF4diE0xdnGTEBOUM3,185280,4
0.619,0.927,10,-3.765,1,0.0346,0.0192,0.0,0.138,0.928,137.975,audio_features,21uV2sH9oWyO7bC6haDS2d,spotify:track:21uV2sH9oWyO7bC6haDS2d,https://api.spotify.com/v1/tracks/21uV2sH9oWyO7bC6haDS2d,https://api.spotify.com/v1/audio-analysis/21uV2sH9oWyO7bC6haDS2d,186187,4
0.523,0.966,9,-4.356,1,0.0355,0.0215,0.0,0.322,0.884,145.016,audio_features,1ervkI01nomSscN6jTN3Fx,spotify:track:1ervkI01nomSscN6jTN3Fx,https://api.spotify.com/v1/tracks/1ervkI01nomSscN6jTN3Fx,https://api.spotify.com/v1/audio-analysis/1ervkI01nomSscN6jTN3Fx,182427,4
0.57,0.657,11,-4.571,1,0.0262,0.431,0.0,0.0777,0.721,142.031,audio_features,3TmEs7hp517ODfZEuMephD,spotify:track:3TmEs7hp517ODfZEuMephD,https://api.spotify.com/v1/tracks/3TmEs7hp517ODfZEuMephD,https://api.spotify.com/v1/audio-analysis/3TmEs7hp517ODfZEuMephD,210373,4
0.54,0.896,9,-6.286,1,0.0333,0.0998,0.0,0.267,0.963,160.034,audio_features,3TRGawrLMx6PcJ0U0cDVqX,spotify:track:3TRGawrLMx6PcJ0U0cDVqX,https://api.spotify.com/v1/tracks/3TRGawrLMx6PcJ0U0cDVqX,https://api.spotify.com/v1/audio-analysis/3TRGawrLMx6PcJ0U0cDVqX,185867,4
0.591,0.778,0,-5.927,1,0.0292,0.165,0.0,0.115,0.386,137.956,audio_features,4dCqcIjr2rIAoTa6oTUUql,spotify:track:4dCqcIjr2rIAoTa6oTUUql,https://api.spotify.com/v1/tracks/4dCqcIjr2rIAoTa6oTUUql,https://api.spotify.com/v1/audio-analysis/4dCqcIjr2rIAoTa6oTUUql,224920,4
0.61,0.641,11,-4.423,1,0.0289,0.662,0.0,0.17,0.494,111.001,audio_features,3pHQi9I4P5ClQmv14wdvmj,spotify:track:3pHQi9I4P5ClQmv14wdvmj,https://api.spotify.com/v1/tracks/3pHQi9I4P5ClQmv14wdvmj,https://api.spotify.com/v1/audio-analysis/3pHQi9I4P5ClQmv14wdvmj,169613,4
0.621,0.753,7,-5.904,0,0.0271,0.581,0.00605,0.215,0.438,127.035,audio_features,6u9SfyzoiWjn8QjmrSntht,spotify:track:6u9SfyzoiWjn8QjmrSntht,https://api.spotify.com/v1/tracks/6u9SfyzoiWjn8QjmrSntht,https://api.spotify.com/v1/audio-analysis/6u9SfyzoiWjn8QjmrSntht,239120,4
0.418,0.628,5,-8.493,1,0.0354,0.461,1.99e-06,0.186,0.462,83.926,audio_features,1CPIDZXj3hcwvYBgCZkJSE,spotify:track:1CPIDZXj3hcwvYBgCZkJSE,https://api.spotify.com/v1/tracks/1CPIDZXj3hcwvYBgCZkJSE,https://api.spotify.com/v1/audio-analysis/1CPIDZXj3hcwvYBgCZkJSE,224547,4
