danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.475,0.808,9,-8.859,1,0.037,0.000942,7.97e-06,0.146,0.896,152.098,audio_features,49C6EGQhCUSgyADHYvJ7ez,spotify:track:49C6EGQhCUSgyADHYvJ7ez,https://api.spotify.com/v1/tracks/49C6EGQhCUSgyADHYvJ7ez,https://api.spotify.com/v1/audio-analysis/49C6EGQhCUSgyADHYvJ7ez,159301,4
0.345,0.461,9,-12.063,1,0.0645,0.479,0.0184,0.0993,0.171,96.346,audio_features,1rxD34LAtkafrMUHqHIV76,spotify:track:1rxD34LAtkafrMUHqHIV76,https://api.spotify.com/v1/tracks/1rxD34LAtkafrMUHqHIV76,https://api.spotify.com/v1/audio-analysis/1rxD34LAtkafrMUHqHIV76,259741,4
0.437,0.864,4,-7.842,0,0.0904,0.396,0.0314,0.242,0.749,81.394,audio_features,0D58ERdLBDRgT86BPnH8ps,spotify:track:0D58ERdLBDRgT86BPnH8ps,https://api.spotify.com/v1/tracks/0D58ERdLBDRgT86BPnH8ps,https://api.spotify.com/v1/audio-analysis/0D58ERdLBDRgT86BPnH8ps,295387,4
0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,audio_features,0RO9W1xJoUEpq5MEelddFb,spotify:track:0RO9W1xJoUEpq5MEelddFb,https://api.spotify.com/v1/tracks/0RO9W1xJoUEpq5MEelddFb,https://api.spotify.com/v1/audio-analysis/0RO9W1xJoUEpq5MEelddFb,482830,4
0.618,0.769,9,-8.012,1,0.0248,0.0123,0.00829,0.23,0.385,102.678,audio_features,4r8AQvzullpWTDpgv70KxD,spotify:track:4r8AQvzullpWTDpgv70KxD,https://api.spotify.com/v1/tracks/4r8AQvzullpWTDpgv70KxD,https://api.spotify.com/v1/audio-analysis/4r8AQvzullpWTDpgv70KxD,339475,4
0.411,0.826,6,-7.285,1,0.0453,0.00228,0.0042,0.357,0.0866,90.67,audio_features,7ndelVxF4Y8K6xg8WXUVMV,spotify:track:7ndelVxF4Y8K6xg8WXUVMV,https://api.spotify.com/v1/tracks/7ndelVxF4Y8K6xg8WXUVMV,https://api.spotify.com/v1/audio-analysis/7ndelVxF4Y8K6xg8WXUVMV,231733,4
0.596,0.605,7,-12.145,1,0.0255,0.181,0.000331,0.0863,0.886,97.798,audio_features,7e89621JPkKaeDSTQ3avtg,spotify:track:7e89621JPkKaeDSTQ3avtg,https://api.spotify.com/v1/tracks/7e89621JPkKaeDSTQ3avtg,https://api.spotify.com/v1/audio-analysis/7e89621JPkKaeDSTQ3avtg,283800,4
0.249,0.834,0,-8.21,1,0.0577,0.0738,9.48e-05,0.0924,0.338,118.223,audio_features,5EWPGh7jbTNO2wakv8LjUI,spotify:track:5EWPGh7jbTNO2wakv8LjUI,https://api.spotify.com/v1/tracks/5EWPGh7jbTNO2wakv8LjUI,https://api.spotify.com/v1/audio-analysis/5EWPGh7jbTNO2wakv8LjUI,547107,4
0.554,0.74,9,-7.706,1,0.0803,0.698,6.9e-05,0.225,0.804,133.363,audio_features,0x2wtJbtJrox3SDmnMj97x,spotify:track:0x2wtJbtJrox3SDmnMj97x,https://api.spotify.com/v1/tracks/0x2wtJbtJrox3SDmnMj97x,https://api.spotify.com/v1/audio-analysis/0x2wtJbtJrox3SDmnMj97x,267173,4
0.573,0.816,2,-13.877,1,0.0461,0.00141,0.164,0.205,0.372,90.524,audio_features,12a1Ap5h9HbxCBveBF2YSE,spotify:track:12a1Ap5h9HbxCBveBF2YSE,https://api.spotify.com/v1/tracks/12a1Ap5h9HbxCBveBF2YSE,https://api.spotify.com/v1/audio-analysis/12a1Ap5h9HbxCBveBF2YSE,219773,4
