danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.459,0.581,10,-6.575,1,0.0713,0.316,0.0,0.124,0.49,176.195,audio_features,4Agtk2MrapdZAVN7v6PuFO,spotify:track:4Agtk2MrapdZAVN7v6PuFO,https://api.spotify.com/v1/tracks/4Agtk2MrapdZAVN7v6PuFO,https://api.spotify.com/v1/audio-analysis/4Agtk2MrapdZAVN7v6PuFO,133661,4
0.636,0.749,1,-4.197,1,0.0631,0.195,0.0,0.107,0.653,117.904,audio_features,3IxMaULfjq4IT2IN6v54PB,spotify:track:3IxMaULfjq4IT2IN6v54PB,https://api.spotify.com/v1/tracks/3IxMaULfjq4IT2IN6v54PB,https://api.spotify.com/v1/audio-analysis/3IxMaULfjq4IT2IN6v54PB,174936,4
0.597,0.595,9,-7.328,1,0.226,0.563,2.06e-06,0.291,0.592,169.81,audio_features,4mnjwMLCk3JZkhkok3u5g1,spotify:track:4mnjwMLCk3JZkhkok3u5g1,https://api.spotify.com/v1/tracks/4mnjwMLCk3JZkhkok3u5g1,https://api.spotify.com/v1/audio-analysis/4mnjwMLCk3JZkhkok3u5g1,186359,4
0.729,0.662,1,-4.851,1,0.0718,0.126,0.0,0.324,0.875,153.015,audio_features,1f466T8PHzdRdnWBwnvCB3,spotify:track:1f466T8PHzdRdnWBwnvCB3,https://api.spotify.com/v1/tracks/1f466T8PHzdRdnWBwnvCB3,https://api.spotify.com/v1/audio-analysis/1f466T8PHzdRdnWBwnvCB3,232104,4
0.482,0.826,7,-9.312,1,0.104,0.0164,2.7e-05,0.218,0.884,187.025,audio_features,7sYMyRZ4bMyuIY5N3vbA6q,spotify:track:7sYMyRZ4bMyuIY5N3vbA6q,https://api.spotify.com/v1/tracks/7sYMyRZ4bMyuIY5N3vbA6q,https://api.spotify.com/v1/audio-analysis/7sYMyRZ4bMyuIY5N3vbA6q,133000,4
0.339,0.73,10,-8.568,0,0.0358,0.00737,0.0,0.0472,0.837,183.144,audio_features,58U47mHjyLwUwJZ7voUt15,spotify:track:58U47mHjyLwUwJZ7voUt15,https://api.spotify.com/v1/tracks/58U47mHjyLwUwJZ7voUt15,https://api.spotify.com/v1/audio-analysis/58U47mHjyLwUwJZ7voUt15,144375,4
0.394,0.866,1,-9.465,1,0.048,0.000445,0.0722,0.102,0.631,150.049,audio_features,37g2UmgooPOi6TvyRBiOA1,spotify:track:37g2UmgooPOi6TvyRBiOA1,https://api.spotify.com/v1/tracks/37g2UmgooPOi6TvyRBiOA1,https://api.spotify.com/v1/audio-analysis/37g2UmgooPOi6TvyRBiOA1,202000,4
0.712,0.695,5,-6.926,0,0.048,0.00847,1.96e-05,0.0761,0.742,110.85,audio_features,79uzBl8P29fWo3doFgjCK0,spotify:track:79uzBl8P29fWo3doFgjCK0,https://api.spotify.com/v1/tracks/79uzBl8P29fWo3doFgjCK0,https://api.spotify.com/v1/audio-analysis/79uzBl8P29fWo3doFgjCK0,169643,4
0.572,0.782,11,-7.82,0,0.0469,0.000334,0.134,0.149,0.313,161.788,audio_features,0KTF2BkNTGbBAlCbIPvAKl,spotify:track:0KTF2BkNTGbBAlCbIPvAKl,https://api.spotify.com/v1/tracks/0KTF2BkNTGbBAlCbIPvAKl,https://api.spotify.com/v1/audio-analysis/0KTF2BkNTGbBAlCbIPvAKl,170093,4
0.558,0.727,1,-7.347,1,0.0802,0.000248,0.0133,0.119,0.773,176.865,audio_features,511nAWwck8asPjql96eM2Y,spotify:track:511nAWwck8asPjql96eM2Y,https://api.spotify.com/v1/tracks/511nAWwck8asPjql96eM2Y,https://api.spotify.com/v1/audio-analysis/511nAWwck8asPjql96eM2Y,196281,4
