danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.486,0.963,0,-5.586,0,0.129,0.248,2.39e-06,0.158,0.533,113.133,audio_features,1ntxpzIUbSsizvuAy6lTYY,spotify:track:1ntxpzIUbSsizvuAy6lTYY,https://api.spotify.com/v1/tracks/1ntxpzIUbSsizvuAy6lTYY,https://api.spotify.com/v1/audio-analysis/1ntxpzIUbSsizvuAy6lTYY,146573,4
0.298,0.753,0,-7.417,0,0.0894,0.248,0.148,0.112,0.32,164.991,audio_features,0auKlivXpm76wR63mMJ3pR,spotify:track:0auKlivXpm76wR63mMJ3pR,https://api.spotify.com/v1/tracks/0auKlivXpm76wR63mMJ3pR,https://api.spotify.com/v1/audio-analysis/0auKlivXpm76wR63mMJ3pR,899933,3
0.46,0.807,8,-7.237,1,0.086,0.731,4.52e-05,0.0799,0.456,143.001,audio_features,1jhH7vvy8hoHuc0mGuZsLX,spotify:track:1jhH7vvy8hoHuc0mGuZsLX,https://api.spotify.com/v1/tracks/1jhH7vvy8hoHuc0mGuZsLX,https://api.spotify.com/v1/audio-analysis/1jhH7vvy8hoHuc0mGuZsLX,172200,4
0.465,0.824,7,-6.668,1,0.1,0.363,0.000398,0.656,0.687,85.218,audio_features,1HFj7yC7uZfqjWuoH6DO9r,spotify:track:1HFj7yC7uZfqjWuoH6DO9r,https://api.spotify.com/v1/tracks/1HFj7yC7uZfqjWuoH6DO9r,https://api.spotify.com/v1/audio-analysis/1HFj7yC7uZfqjWuoH6DO9r,207760,4
0.41,0.821,11,-8.557,0,0.194,0.202,0.0367,0.43,0.833,148.665,audio_features,0KqHJXm4Z42fELkW83ZW0r,spotify:track:0KqHJXm4Z42fELkW83ZW0r,https://api.spotify.com/v1/tracks/0KqHJXm4Z42fELkW83ZW0r,https://api.spotify.com/v1/audio-analysis/0KqHJXm4Z42fELkW83ZW0r,249373,4
0.599,0.622,6,-7.019,1,0.128,0.222,0.0,0.536,0.907,117.574,audio_features,1DfWmv1eJU1a9tuGpqKGFP,spotify:track:1DfWmv1eJU1a9tuGpqKGFP,https://api.spotify.com/v1/tracks/1DfWmv1eJU1a9tuGpqKGFP,https://api.spotify.com/v1/audio-analysis/1DfWmv1eJU1a9tuGpqKGFP,223680,4
0.331,0.845,0,-7.55,1,0.0889,0.411,0.000412,0.124,0.525,76.698,audio_features,36SULeBeglappJysOY6WzQ,spotify:track:36SULeBeglappJysOY6WzQ,https://api.spotify.com/v1/tracks/36SULeBeglappJysOY6WzQ,https://api.spotify.com/v1/audio-analysis/36SULeBeglappJysOY6WzQ,219613,4
0.692,0.672,2,-8.979,1,0.282,0.317,0.00177,0.39,0.541,108.077,audio_features,0xwG5stzrc5B70TycPwenY,spotify:track:0xwG5stzrc5B70TycPwenY,https://api.spotify.com/v1/tracks/0xwG5stzrc5B70TycPwenY,https://api.spotify.com/v1/audio-analysis/0xwG5stzrc5B70TycPwenY,222067,4
0.357,0.682,1,-9.207,1,0.106,0.159,0.00609,0.357,0.229,138.258,audio_features,5uDpwSGjljhIgDB1ZYdp9c,spotify:track:5uDpwSGjljhIgDB1ZYdp9c,https://api.spotify.com/v1/tracks/5uDpwSGjljhIgDB1ZYdp9c,https://api.spotify.com/v1/audio-analysis/5uDpwSGjljhIgDB1ZYdp9c,819627,4
0.0,0.391,6,-20.962,1,0.0,0.404,0.932,0.0603,0.0,0.0,audio_features,3q3gK9I4mj03565IGtVA0d,spotify:track:3q3gK9I4mj03565IGtVA0d,https://api.spotify.com/v1/tracks/3q3gK9I4mj03565IGtVA0d,https://api.spotify.com/v1/audio-analysis/3q3gK9I4mj03565IGtVA0d,61773,0
