danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.289,0.555,7,-7.434,1,0.0402,0.00312,0.0496,0.27,0.306,158.671,audio_features,6UO72VSXEONxdfLyABihs9,spotify:track:6UO72VSXEONxdfLyABihs9,https://api.spotify.com/v1/tracks/6UO72VSXEONxdfLyABihs9,https://api.spotify.com/v1/audio-analysis/6UO72VSXEONxdfLyABihs9,247040,4
0.105,0.635,7,-7.4,1,0.0455,0.00403,0.24,0.106,0.671,191.805,audio_features,1elQc2QcyuBkI8FUIbNvcy,spotify:track:1elQc2QcyuBkI8FUIbNvcy,https://api.spotify.com/v1/tracks/1elQc2QcyuBkI8FUIbNvcy,https://api.spotify.com/v1/audio-analysis/1elQc2QcyuBkI8FUIbNvcy,222960,3
0.488,0.454,4,-11.544,0,0.0304,0.317,0.694,0.179,0.131,138.076,audio_features,2QwObYJWyJTiozvs0RI7CF,spotify:track:2QwObYJWyJTiozvs0RI7CF,https://api.spotify.com/v1/tracks/2QwObYJWyJTiozvs0RI7CF,https://api.spotify.com/v1/audio-analysis/2QwObYJWyJTiozvs0RI7CF,253853,4
0.416,0.939,11,-3.247,1,0.0473,1.09e-05,1.05e-05,0.753,0.36,113.926,audio_features,7IuCCezGsyTH9LU4IVL57s,spotify:track:7IuCCezGsyTH9LU4IVL57s,https://api.spotify.com/v1/tracks/7IuCCezGsyTH9LU4IVL57s,https://api.spotify.com/v1/audio-analysis/7IuCCezGsyTH9LU4IVL57s,226400,4
0.48,0.791,11,-3.827,0,0.0364,0.000227,1.33e-06,0.328,0.626,104.001,audio_features,3ujwIruj897uySuJuwoPQN,spotify:track:3ujwIruj897uySuJuwoPQN,https://api.spotify.com/v1/tracks/3ujwIruj897uySuJuwoPQN,https://api.spotify.com/v1/audio-analysis/3ujwIruj897uySuJuwoPQN,291693,4
0.298,0.967,11,-2.589,1,0.0687,0.0109,0.000168,0.119,0.274,127.057,audio_features,4RhOMvp9ZPyTuXwLCWvi8O,spotify:track:4RhOMvp9ZPyTuXwLCWvi8O,https://api.spotify.com/v1/tracks/4RhOMvp9ZPyTuXwLCWvi8O,https://api.spotify.com/v1/audio-analysis/4RhOMvp9ZPyTuXwLCWvi8O,208667,4
0.331,0.558,2,-5.506,1,0.031,0.0689,1.96e-06,0.124,0.0985,150.19,audio_features,0SlpFHdk4UHBDzCEoXzy14,spotify:track:0SlpFHdk4UHBDzCEoXzy14,https://api.spotify.com/v1/tracks/0SlpFHdk4UHBDzCEoXzy14,https://api.spotify.com/v1/audio-analysis/0SlpFHdk4UHBDzCEoXzy14,303120,4
0.491,0.561,2,-6.396,1,0.0279,0.274,2.16e-06,0.23,0.543,134.881,audio_features,2tBxJ43XiwEzhf7Xalc5UG,spotify:track:2tBxJ43XiwEzhf7Xalc5UG,https://api.spotify.com/v1/tracks/2tBxJ43XiwEzhf7Xalc5UG,https://api.spotify.com/v1/audio-analysis/2tBxJ43XiwEzhf7Xalc5UG,127600,4
0.405,0.632,2,-5.132,1,0.0273,0.0316,0.00251,0.112,0.141,145.936,audio_features,45AQ5zbSJ0j1nM9daSWeq8,spotify:track:45AQ5zbSJ0j1nM9daSWeq8,https://api.spotify.com/v1/tracks/45AQ5zbSJ0j1nM9daSWeq8,https://api.spotify.com/v1/audio-analysis/45AQ5zbSJ0j1nM9daSWeq8,292853,4
0.4,0.738,7,-6.574,0,0.0332,0.000628,0.954,0.314,0.358,191.827,audio_features,5Dj6qiPl4D6FmcmRRSR52j,spotify:track:5Dj6qiPl4D6FmcmRRSR52j,https://api.spotify.com/v1/tracks/5Dj6qiPl4D6FmcmRRSR52j,https://api.spotify.com/v1/audio-analysis/5Dj6qiPl4D6FmcmRRSR52j,77333,3
0.365,0.737,7,-4.652,1,0.0421,0.00206,5.74e-05,0.71,0.214,114.929,audio_features,1NyalML00QTGS314umXFeX,spotify:track:1NyalML00QTGS314umXFeX,https://api.spotify.com/v1/tracks/1NyalML00QTGS314umXFeX,https://api.spotify.com/v1/audio-analysis/1NyalML00QTGS314umXFeX,242000,4
