danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.546,0.138,3,-14.458,1,0.0665,0.922,1.45e-06,0.105,0.529,136.073,audio_features,3RIBMXOnX8BsxJsSpvw9fA,spotify:track:3RIBMXOnX8BsxJsSpvw9fA,https://api.spotify.com/v1/tracks/3RIBMXOnX8BsxJsSpvw9fA,https://api.spotify.com/v1/audio-analysis/3RIBMXOnX8BsxJsSpvw9fA,226323,4
0.621,0.108,10,-15.399,1,0.0493,0.968,1.67e-05,0.137,0.204,129.285,audio_features,6UTRGCrWT32PNCJncSBE3y,spotify:track:6UTRGCrWT32PNCJncSBE3y,https://api.spotify.com/v1/tracks/6UTRGCrWT32PNCJncSBE3y,https://api.spotify.com/v1/audio-analysis/6UTRGCrWT32PNCJncSBE3y,270462,4
0.451,0.0873,3,-16.815,1,0.063,0.907,2.46e-06,0.355,0.456,166.603,audio_features,2vzWylXWogTG11HR0frews,spotify:track:2vzWylXWogTG11HR0frews,https://api.spotify.com/v1/tracks/2vzWylXWogTG11HR0frews,https://api.spotify.com/v1/audio-analysis/2vzWylXWogTG11HR0frews,200000,4
0.529,0.351,1,-12.484,1,0.0368,0.543,0.0,0.0851,0.529,147.815,audio_features,5GzgEC6pWf1USZsCtkG8yC,spotify:track:5GzgEC6pWf1USZsCtkG8yC,https://api.spotify.com/v1/tracks/5GzgEC6pWf1USZsCtkG8yC,https://api.spotify.com/v1/audio-analysis/5GzgEC6pWf1USZsCtkG8yC,199981,4
0.713,0.639,7,-5.231,1,0.243,0.386,0.0,0.177,0.625,166.732,audio_features,7ksYNhalX8IWKku513n8QG,spotify:track:7ksYNhalX8IWKku513n8QG,https://api.spotify.com/v1/tracks/7ksYNhalX8IWKku513n8QG,https://api.spotify.com/v1/audio-analysis/7ksYNhalX8IWKku513n8QG,174600,4
0.36,0.351,0,-9.105,1,0.0392,0.812,0.0,0.172,0.321,180.053,audio_features,7nZF59EvFUshBQfhHev64D,spotify:track:7nZF59EvFUshBQfhHev64D,https://api.spotify.com/v1/tracks/7nZF59EvFUshBQfhHev64D,https://api.spotify.com/v1/audio-analysis/7nZF59EvFUshBQfhHev64D,185274,3
0.42,0.303,9,-9.008,1,0.0364,0.86,0.000329,0.0778,0.277,137.118,audio_features,58f9nTeQ3ORN2nvtWYbnON,spotify:track:58f9nTeQ3ORN2nvtWYbnON,https://api.spotify.com/v1/tracks/58f9nTeQ3ORN2nvtWYbnON,https://api.spotify.com/v1/audio-analysis/58f9nTeQ3ORN2nvtWYbnON,189110,4
0.528,0.116,2,-14.375,1,0.0388,0.94,0.0,0.108,0.438,78.245,audio_features,4xtU1fCMODIpnXBqY4wOTo,spotify:track:4xtU1fCMODIpnXBqY4wOTo,https://api.spotify.com/v1/tracks/4xtU1fCMODIpnXBqY4wOTo,https://api.spotify.com/v1/audio-analysis/4xtU1fCMODIpnXBqY4wOTo,168799,4
0.726,0.404,7,-10.311,1,0.0931,0.884,0.0,0.137,0.302,117.023,audio_features,1Nm13xmpLsLvFsUp4vR8ED,spotify:track:1Nm13xmpLsLvFsUp4vR8ED,https://api.spotify.com/v1/tracks/1Nm13xmpLsLvFsUp4vR8ED,https://api.spotify.com/v1/audio-analysis/1Nm13xmpLsLvFsUp4vR8ED,199125,4
0.384,0.165,2,-9.601,1,0.0446,0.958,0.0,0.101,0.333,68.469,audio_features,53Wsf11ElpPr1WAGtRQlcx,spotify:track:53Wsf11ElpPr1WAGtRQlcx,https://api.spotify.com/v1/tracks/53Wsf11ElpPr1WAGtRQlcx,https://api.spotify.com/v1/audio-analysis/53Wsf11ElpPr1WAGtRQlcx,223347,4
0.658,0.473,4,-7.632,1,0.0463,0.367,0.0,0.187,0.563,98.022,audio_features,0f8xPdFJ6SdlHJwkxpdw2Q,spotify:track:0f8xPdFJ6SdlHJwkxpdw2Q,https://api.spotify.com/v1/tracks/0f8xPdFJ6SdlHJwkxpdw2Q,https://api.spotify.com/v1/audio-analysis/0f8xPdFJ6SdlHJwkxpdw2Q,178140,4
0.603,0.297,1,-8.525,1,0.0275,0.77,0.0,0.107,0.29,86.95,audio_features,1vjQHBoJWpQ3rAPRDVjrxA,spotify:track:1vjQHBoJWpQ3rAPRDVjrxA,https://api.spotify.com/v1/tracks/1vjQHBoJWpQ3rAPRDVjrxA,https://api.spotify.com/v1/audio-analysis/1vjQHBoJWpQ3rAPRDVjrxA,228387,4
