danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.622,0.503,5,-6.724,0,0.201,0.282,0.0,0.112,0.314,136.048,audio_features,21WvAGxPUNJARcZoSqswd7,spotify:track:21WvAGxPUNJARcZoSqswd7,https://api.spotify.com/v1/tracks/21WvAGxPUNJARcZoSqswd7,https://api.spotify.com/v1/audio-analysis/21WvAGxPUNJARcZoSqswd7,256493,4
0.663,0.696,9,-4.957,0,0.103,0.0561,3.77e-05,0.0778,0.738,180.113,audio_features,6JjPBQfI2Y8nIjnm65X6Pw,spotify:track:6JjPBQfI2Y8nIjnm65X6Pw,https://api.spotify.com/v1/tracks/6JjPBQfI2Y8nIjnm65X6Pw,https://api.spotify.com/v1/audio-analysis/6JjPBQfI2Y8nIjnm65X6Pw,235747,4
0.734,0.793,6,-4.731,1,0.0454,0.128,0.0,0.0658,0.511,89.961,audio_features,2p9iGnFlpJ3HoO7croTATl,spotify:track:2p9iGnFlpJ3HoO7croTATl,https://api.spotify.com/v1/tracks/2p9iGnFlpJ3HoO7croTATl,https://api.spotify.com/v1/audio-analysis/2p9iGnFlpJ3HoO7croTATl,235315,4
0.75,0.619,5,-5.777,0,0.212,0.0184,0.0,0.13,0.78,172.002,audio_features,27xFMBWh15wyYGGAVrEMuK,spotify:track:27xFMBWh15wyYGGAVrEMuK,https://api.spotify.com/v1/tracks/27xFMBWh15wyYGGAVrEMuK,https://api.spotify.com/v1/audio-analysis/27xFMBWh15wyYGGAVrEMuK,255092,4
0.842,0.801,8,-4.167,0,0.228,0.157,4.82e-06,0.0642,0.617,95.881,audio_features,4w8niZpiMy6qz1mntFA5uM,spotify:track:4w8niZpiMy6qz1mntFA5uM,https://api.spotify.com/v1/tracks/4w8niZpiMy6qz1mntFA5uM,https://api.spotify.com/v1/audio-analysis/4w8niZpiMy6qz1mntFA5uM,212500,4
0.846,0.659,10,-5.277,0,0.259,0.643,0.0,0.119,0.497,94.195,audio_features,3wowzpCsKdqW3u7jGgS1oO,spotify:track:3wowzpCsKdqW3u7jGgS1oO,https://api.spotify.com/v1/tracks/3wowzpCsKdqW3u7jGgS1oO,https://api.spotify.com/v1/audio-analysis/3wowzpCsKdqW3u7jGgS1oO,187312,4
0.837,0.847,4,-4.395,1,0.0982,0.318,0.0,0.261,0.73,90.996,audio_features,7zjxmI7AldHmhWfFozqv3t,spotify:track:7zjxmI7AldHmhWfFozqv3t,https://api.spotify.com/v1/tracks/7zjxmI7AldHmhWfFozqv3t,https://api.spotify.com/v1/audio-analysis/7zjxmI7AldHmhWfFozqv3t,206560,4
0.857,0.772,10,-4.737,0,0.195,0.188,0.00181,0.0851,0.589,94.03,audio_features,28O1p0bQXH2F6Qn8jBZZR4,spotify:track:28O1p0bQXH2F6Qn8jBZZR4,https://api.spotify.com/v1/tracks/28O1p0bQXH2F6Qn8jBZZR4,https://api.spotify.com/v1/audio-analysis/28O1p0bQXH2F6Qn8jBZZR4,164765,4
0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,audio_features,116H0KvKr2Zl4RPuVBruDO,spotify:track:116H0KvKr2Zl4RPuVBruDO,https://api.spotify.com/v1/tracks/116H0KvKr2Zl4RPuVBruDO,https://api.spotify.com/v1/audio-analysis/116H0KvKr2Zl4RPuVBruDO,210368,4
0.795,0.751,8,-3.661,1,0.0675,0.337,0.0,0.0983,0.537,113.033,audio_features,2ECIwi1a7mfokdDkkJ08Ne,spotify:track:2ECIwi1a7mfokdDkkJ08Ne,https://api.spotify.com/v1/tracks/2ECIwi1a7mfokdDkkJ08Ne,https://api.spotify.com/v1/audio-analysis/2ECIwi1a7mfokdDkkJ08Ne,346460,4
