danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.623,0.449,5,-13.333,1,0.0253,0.212,0.0,0.0613,0.572,84.383,audio_features,5tVA6TkbaAH9QMITTQRrNv,spotify:track:5tVA6TkbaAH9QMITTQRrNv,https://api.spotify.com/v1/tracks/5tVA6TkbaAH9QMITTQRrNv,https://api.spotify.com/v1/audio-analysis/5tVA6TkbaAH9QMITTQRrNv,256000,4
0.637,0.89,7,-4.872,1,0.0677,0.119,6.72e-05,0.103,0.923,127.689,audio_features,3XcjIvaZVUFAIdIYZqY9bd,spotify:track:3XcjIvaZVUFAIdIYZqY9bd,https://api.spotify.com/v1/tracks/3XcjIvaZVUFAIdIYZqY9bd,https://api.spotify.com/v1/audio-analysis/3XcjIvaZVUFAIdIYZqY9bd,207093,4
0.663,0.482,1,-12.093,1,0.0479,0.186,0.0,0.0521,0.314,144.13,audio_features,7C0rG4oWO7VeZcffyW1sK9,spotify:track:7C0rG4oWO7VeZcffyW1sK9,https://api.spotify.com/v1/tracks/7C0rG4oWO7VeZcffyW1sK9,https://api.spotify.com/v1/audio-analysis/7C0rG4oWO7VeZcffyW1sK9,328707,4
0.336,0.909,4,-11.019,1,0.039,0.204,0.0211,0.333,0.956,172.162,audio_features,4BYmnYGNVBVm2JHVxFNMXj,spotify:track:4BYmnYGNVBVm2JHVxFNMXj,https://api.spotify.com/v1/tracks/4BYmnYGNVBVm2JHVxFNMXj,https://api.spotify.com/v1/audio-analysis/4BYmnYGNVBVm2JHVxFNMXj,143227,4
0.58,0.748,4,-5.433,1,0.0323,0.00935,0.0,0.753,0.584,109.781,audio_features,16DhvbuyvJob4Q9GHNYu2n,spotify:track:16DhvbuyvJob4Q9GHNYu2n,https://api.spotify.com/v1/tracks/16DhvbuyvJob4Q9GHNYu2n,https://api.spotify.com/v1/audio-analysis/16DhvbuyvJob4Q9GHNYu2n,216760,4
0.605,0.716,2,-5.471,1,0.0285,0.0261,5.82e-06,0.13,0.868,112.302,audio_features,71GMl3Q7U4JnrTqI9kfcoN,spotify:track:71GMl3Q7U4JnrTqI9kfcoN,https://api.spotify.com/v1/tracks/71GMl3Q7U4JnrTqI9kfcoN,https://api.spotify.com/v1/audio-analysis/71GMl3Q7U4JnrTqI9kfcoN,197467,4
0.4,0.747,6,-9.438,1,0.045,0.163,0.0,0.0774,0.674,203.396,audio_features,1cItNpcJskTVETprljc7HV,spotify:track:1cItNpcJskTVETprljc7HV,https://api.spotify.com/v1/tracks/1cItNpcJskTVETprljc7HV,https://api.spotify.com/v1/audio-analysis/1cItNpcJskTVETprljc7HV,219289,4
0.448,0.35,5,-16.239,1,0.0393,0.147,2.27e-06,0.0842,0.234,177.279,audio_features,57trQKFZdJxHia4sMJioWk,spotify:track:57trQKFZdJxHia4sMJioWk,https://api.spotify.com/v1/tracks/57trQKFZdJxHia4sMJioWk,https://api.spotify.com/v1/audio-analysis/57trQKFZdJxHia4sMJioWk,302933,4
0.611,0.946,4,-5.357,1,0.0378,0.00957,0.0708,0.36,0.763,125.398,audio_features,7t6CAWplijBj4sdl0q3z0e,spotify:track:7t6CAWplijBj4sdl0q3z0e,https://api.spotify.com/v1/tracks/7t6CAWplijBj4sdl0q3z0e,https://api.spotify.com/v1/audio-analysis/7t6CAWplijBj4sdl0q3z0e,273907,4
0.47,0.939,7,-7.782,0,0.0599,0.00511,0.00102,0.51,0.3,129.896,audio_features,7gvFV0ndhy4s79EZSGIFXe,spotify:track:7gvFV0ndhy4s79EZSGIFXe,https://api.spotify.com/v1/tracks/7gvFV0ndhy4s79EZSGIFXe,https://api.spotify.com/v1/audio-analysis/7gvFV0ndhy4s79EZSGIFXe,273933,4
0.344,0.796,9,-11.731,1,0.0407,0.00942,0.00186,0.0984,0.601,96.95,audio_features,2nIDPfhjHZP8UOXPenLZUC,spotify:track:2nIDPfhjHZP8UOXPenLZUC,https://api.spotify.com/v1/tracks/2nIDPfhjHZP8UOXPenLZUC,https://api.spotify.com/v1/audio-analysis/2nIDPfhjHZP8UOXPenLZUC,275493,4
0.531,0.626,0,-13.371,1,0.0452,0.0606,0.0,0.0767,0.746,88.236,audio_features,0TaT50ZZxT4ytZxuqkE3A9,spotify:track:0TaT50ZZxT4ytZxuqkE3A9,https://api.spotify.com/v1/tracks/0TaT50ZZxT4ytZxuqkE3A9,https://api.spotify.com/v1/audio-analysis/0TaT50ZZxT4ytZxuqkE3A9,227693,4
0.543,0.529,7,-9.717,1,0.0301,0.326,0.00269,0.709,0.746,85.126,audio_features,3KPwt1LBpt1jVSHz8GXERo,spotify:track:3KPwt1LBpt1jVSHz8GXERo,https://api.spotify.com/v1/tracks/3KPwt1LBpt1jVSHz8GXERo,https://api.spotify.com/v1/audio-analysis/3KPwt1LBpt1jVSHz8GXERo,313840,4
0.723,0.541,0,-14.021,1,0.0303,0.028,0.00339,0.133,0.607,131.675,audio_features,7pkWZL0kA26s754CwyK0SH,spotify:track:7pkWZL0kA26s754CwyK0SH,https://api.spotify.com/v1/tracks/7pkWZL0kA26s754CwyK0SH,https://api.spotify.com/v1/audio-analysis/7pkWZL0kA26s754CwyK0SH,322897,4
0.588,0.584,0,-7.526,1,0.037,0.000818,0.458,0.104,0.537,150.795,audio_features,0sTnQus7pGewDC0UHSyRDS,spotify:track:0sTnQus7pGewDC0UHSyRDS,https://api.spotify.com/v1/tracks/0sTnQus7pGewDC0UHSyRDS,https://api.spotify.com/v1/audio-analysis/0sTnQus7pGewDC0UHSyRDS,313707,4
